,Poems,/People & Society/Family & Relationships/Troubled Relationships,/Arts & Entertainment/Music & Audio,/Food & Drink/Cooking & Recipes,/Arts & Entertainment,/Books & Literature,/Computers & Electronics,/Pets & Animals,/Pets & Animals/Wildlife,/Hobbies & Leisure,/Sensitive Subjects,/Shopping/Apparel,/People & Society/Family & Relationships,/Arts & Entertainment/Movies,/Pets & Animals/Pets/Birds,/Sports,/Pets & Animals/Pets/Dogs,/Pets & Animals/Pets/Cats,/People & Society,/Business & Industrial,/Food & Drink,/Health,/Sports/International Sports Competitions/Olympics,/Home & Garden/Gardening & Landscaping,/Science,/Health/Health Conditions/Cancer,/Law & Government,/Finance/Credit & Lending,/People & Society/Religion & Belief,/Arts & Entertainment/Visual Art & Design/Painting,/Health/Health Conditions,/Science/Biological Sciences,/Law & Government/Legal,/Arts & Entertainment/Performing Arts/Dance,/News/Politics,/Games/Computer & Video Games,/Sports/Individual Sports/Skate Sports,/Shopping,/Sports/Sporting Goods,/Arts & Entertainment/TV & Video,/News,/Health/Health Conditions/Pain Management,/Computers & Electronics/Computer Hardware,/Law & Government/Public Safety,/Games,/Shopping/Gifts & Special Event Items/Flowers,/Hobbies & Leisure/Special Occasions,/Arts & Entertainment/Humor,/Hobbies & Leisure/Water Activities/Surf & Swim,/Sports/Water Sports/Swimming,/Sports/International Sports Competitions,/Health/Vision Care,/Internet & Telecom,/Business & Industrial/Agriculture & Forestry,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,/Home & Garden/Pest Control,/Food & Drink/Food,/Food & Drink/Beverages/Alcoholic Beverages,/People & Society/Family & Relationships/Marriage,/Beauty & Fitness/Face & Body Care,/Beauty & Fitness/Hair Care,/Food & Drink/Beverages,/Books & Literature/Poetry,/Arts & Entertainment/Visual Art & Design,/Home & Garden,/Reference,/People & Society/Family & Relationships/Family,/Sports/Team Sports,/Sports/Individual Sports/Racquet Sports,/News/Sports News,/Arts & Entertainment/Celebrities & Entertainment News,/Pets & Animals/Pets,/Hobbies & Leisure/Outdoors/Fishing,/Law & Government/Public Safety/Crime & Justice,/Science/Astronomy,/Hobbies & Leisure/Crafts,/Sports/Extreme Sports,/Sports/Combat Sports/Boxing,/Jobs & Education/Education,/Arts & Entertainment/Offbeat/Occult & Paranormal,/Online Communities/Dating & Personals,/Sports/Team Sports/Cricket,/Arts & Entertainment/Music & Audio/Rock Music,/Arts & Entertainment/Comics & Animation/Anime & Manga,/Food & Drink/Food/Meat & Seafood,/Beauty & Fitness,/Reference/General Reference,/Reference/Language Resources,/People & Society/Social Issues & Advocacy,/Law & Government/Legal/Legal Services,/Beauty & Fitness/Fashion & Style,/Internet & Telecom/Web Services,/Hobbies & Leisure/Water Activities/Boating,/Health/Health Conditions/Sleep Disorders,/Business & Industrial/Business Services,/Science/Computer Science,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
70,"you've got cancer? that's what you'd say full of chemical waste, food waste of day too much dirt on your food to lose weight that's accrued then rack up and lose weight you can't weigh",,,,,,,,,,,,,,,,,,,,,,,,,0.949999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"in their carvings and letters, we read percables?ignored and unrereaded but others await us may even berate us is ours; this is just what they need",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,the albacore's a genus of fly because it's the black sea. who knows why with strong fins and shell one that's also known well due to mammals who kind of reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"from his room he sat, feeling asleep last night, the bold shepherd of sheep saw some dozens of sheep of whom sheep would he keep between valleys and fields, deep and deep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,if you've a cold just to think of a rhyme here are rhymes we define every time you would find a bad rhyme and you rhy it each time that your use is a bit of a crime,,0.7400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,there once was a girl from siberia who was smart as a guard from siberia but whenever i told her cabbed in hot salt water and i laughed as she stewed her from siberia,,,,0.5600000023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"an angel's a spirit who sings in possession of those one or her things she's an angel, true she's an angel to you or just one in the world with no wings",,,,0.8199999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"we're divorced. my love's completely unplanned for our marriage, i broke in the hand but you're gonna get out that you cause me to shout if it's yours. i'll get back in the land",0.7200000286102295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,the albacore's a genus of fly have scales that are haughty and dry though it's a seraphore just a mouthful of war it'll kill many anapests and die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"they were wed at this point in their prime to have reached our u.s. at the time of the right of this land of our left and our grand that is wrong, but we're both in a prime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"if you've a cold just to think of a rhyme i'll admit it, it's charged with this crime but i'll have to admit if you don't think that i.. but again, b?rhyme, wait for that time",,,,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"it's a term, i'm afraid, that is silly that for using this word? that ain't silly though it's some of you know i'll use words long ago without one at all, willy-nilly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,here's a verse (a verse by dorotheosis) it has a dire case of necrosis but mitosis is it decitosis is it which mitosis occurs in fibrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"if you've a cold just to think of a rhyme that's a meter, they'll see, for a dime a limerick or so which you even should know and for this? lack of wit! it's a crime",,0.8399999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"there once was a girl from siberia whose girlfriend, the sedan from tiberia she flavored with mints had a scent that she pints as to add to this fellow from siberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"i believe that my limerick's lacking a writer whose volume is packing is working all day don't get out of my way but to me, thanks to you, with no backing",,,,,,,,,,,,,,,,,,,0.5799999833106995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"when he visits, for his dastardly deeds that his oysters provide us all needs he deserves not a care not a layman, a scare never dare, for his dastardly deeds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"you are asking for trouble, i fear as to you? in my answer, my dear in your love when i say justmake me beg right away then you fear i shall not disappear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"they're expecting a divorce and a trial without death or divorce, till they smile if there's fate will be be an appointee without death, divorce and a trial",0.8299999833106995,,,,,,,,,,,,,,,,,,,,,,,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,they're expecting a divorce and a trial where insurance is left down the aisle of a mortgage. it's clear you can wrinkle your ear in courts?odds have run out of style,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"a chimp who has suffered from sloth lost in joy and in love, but a youth i can come on and know from our sparkling bordeaux all in all? far away, that's the truth",,,,,,,,0.9599999785423279,0.9599999785423279,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,here's a verse (a verse by dorotheosis) e.c.a.p.o.b.'s no hypnosis that does anyone know (no one knows it: it's bordeaux) it's an-to-is. what's your prognosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7699999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"the cat was a bighearted guy whose affection held deep, deep in his eye and without any care won't have other affairs sang alone? let's wind up in the sky",,,,0.8500000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"so you think i'm an outcast? you're wrong lighten daytime? i can't be too bright though i work it all night even evening, i'm right why in daytime doesn't belong",,,,0.7200000286102295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"i believe that my limerick's lacking i have to feel bad! there's no backing so what do i do from composing this two i've the word for this limerick, a wracking",,,,0.5299999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"you are asking for trouble, i fear had the thing that you told me, my dear but the clue that was you well then, was you too there's less than a madame denier",,,,0.6200000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"the term amokusa appears made by phallus, on tops of big ears i'm a fan of the genus genus no reason to shock us when i wait for some fine souvenirs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,your computer is useless when fried you just use it to do till you fried and although you might say you were useful today were wiped off by the moo till you fried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"the chamferman's work, in its prime be it scherhoff or mink, in its prime as the history of time in its paintings sublime me. please call it chablas? a crime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"an angel's a spirit who sings to some earthly souls, in these things like a spirit from hell they feel soulful and swell and them living with angels, like kings",,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"you should see a man dressed as clown if your plan is to cover the town you should never know not no, the clown will go hot and quite well...up ahead, up and down",,,,0.7300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"the old celticist, fahrenheit 451 has forgotten his name. is quite leery once the word from fahrenheit was explained by fahrenheit where physics at first was a saint leery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"a big bird can't be an amphibious bird like a flea?that's comel-like, i've heard it's cat-like and small with no wings?not at all to this bird i would call the absurd",,,,,,,,,0.9100000262260437,,,,,0.8199999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,you should see a man dressed as clown there'd be any lass meant to stand down lest this grin on his face holds the light on his grace shake him back when the clown wears a frown,,,,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,i wish i would not exist the leaves are all wrapped round my wrist the leaves of fresh fruit and provides me this root how i wish it just didn't exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,they were wed at this point in their prime they're in birth?number two? not in time if two things i would say i'll be waiting all day but what's left them feeling sublime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,we've gone out on patrol to promote we lie back. then examine each piece but we're in on that night we approach left to right but examine your dog with a chalice,,,,0.6499999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"when he visits, for his dastardly deeds with depudigent counsel he needs i think that he's wrong careful words, each day long i believe what he easily reads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"in their carvings and letters, we read they had phrases and words. if you said and the author? well, he's with z?me, he'd be ak?z you would know that most readers are dead",,,,0.6200000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"i wish i would not exist on my ankle, the lump on my wrist it's causing some pain but i'm certain to gain won't complain how it hurts. here's the gist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7799999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"the chamferman's work, in its prime for long hours take very much time it's simple? but do it and back here, and to it you haven't good rhyme and rhyme",,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"in the spring some plants have such blooms do they seed, and then hide in hot rooms that would happen to grow till the seed, and they grow 'look, i'd rather spot 'em. the dooms",,,,,,,,,,,,,,,,,,,,,,,0.8399999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"a chimp who has suffered from sloth a peddler who's coarse and uncouth god is careless, he's churning like that he's just turning but a dial-up who looks like a moth",,,,,,,,0.8600000143051147,0.800000011920929,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"it's a term, i'm afraid, that is silly though english is old, willy-nilly although writing of it it is writing of it its meaning today, that is silly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,we've gone out on patrol to promote so the lad wants to capture a boat a swift search while ashore as he leads door to door the patrol sergeant will send him to vote,,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,a decimetre per second is an accurate measure. i reckoned one's an accurate scale that one's best not to fail.. it's just wrong?and i'd like to have reckoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"this flower, of great import, has so bright, on its perfume, and pizzazz and so thank you, my dear it's suitably clear except to me? oh yes, my pizzazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"i wish i would not exist my spirit is out in my fist not much. now, would i do 'til i happened to you on my body, and never insist",,,,0.5199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"you should see a man dressed as clown while he splashed it and put on his gown since his robe, so he said you can't leave him in bed for he's bringing things out of his mind",,,,,,,,,,,0.6700000166893005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"his parents, the greek pharaoh's brother for mother and stapha, his mother and staphas, their father are sick and yet older the birth of their children, each other",,,,,,,,,,,,,,,,,,0.6200000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"cabaret's a color that's gray to ignore it and sometimes take sway be it yellow, or pink it's a term you might think it is not, on there, far and away",,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"this flower, of great import, has (in fact, it will be no faux pas on the top of this plant in which prospects were scant if i tell you, it's sort of finax.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"it's a term, i'm afraid, that is silly most might say if it's not willy-nilly than billy than billy' the bottoms of your billy but don't stay alarmingly chilly",,,,0.7099999785423279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"i wish i would not exist from a wrist at the end of my wrist while not being too dear though i'll try this degere for, alas, i don't drink at the tryst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"from his room he sat, feeling asleep using stoic thoughts down very deep deep all awake, so i thought then awake and was caught every thought that had caused him to leap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,it is ciphered by those who like to eat on a salad is much like to eat spread with liver and cheese that's as hot as you please try some fish or all animal meat,,,,,,,,,,,,,,,,,,,,0.7099999785423279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"when your mind is so dull and abstract think you're lacking in mind or in act if you share what you need buy a new book or screed well, it's wise, and in truth, but in fact",,,,,,,,,,,,,,,,,,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"the chamferman's work, in its prime of things in its life, every time from its life, from creation i?god's inspiration that divine. it's a concept sublime",,,,,,,,,,,,,,,,,,0.5899999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,the adzuki: a yak that you'd meet is the meat that the yak likes to eat from sheep or from cattle to be past quite a while you reckon it's well known in that meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"they're expecting a divorce and a trial yet i'm sure they don't care for a mile are quite guilty, we'll find i's been holding my mind i'm just falling off, dear, in a short while",0.8299999833106995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"i believe that my limerick's lacking i can't read what i say, with his backing for five lines that hit me plus three? hard to see the left edge? the right edge is still cracking",,,,0.5400000214576721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"this flower, of great import, has so misty, the root of this paras not sticky or frosty not sweet, not as easy makes people smile, and say,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"i wish i would not exist i believe there's a bit of this gist in my life, so you see there's no state that can be it's a fact that i really can't exist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"after years of arduous wrangling is pressure and pain, though, i'm anglingling such throbbing and clamping my heart, and compamping i say,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"the chamferman's work, in its prime as german, it's limited time now, man, it works great it's 88 and for it, there are more than a mime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,if you'd like a fast and furious fight a blinkight is there on the right or may blink in a way but we see it today can be glimpsed by the black from its light,,,,,,,,,,,,,0.7200000286102295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"it's a term, i'm afraid, that is silly it's unwary. i swear, that ain't frilly that it is henry, see like a thing that might be (it's a garden, in winter when chilly.",,0.6499999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"from his room he sat, feeling asleep he was shirling, beginning to weep with his anguish and grief in his doctor's relief that finding these drugs could be cheap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"if you'd like a fast and furious fight you will end with our very first bite and, for now, a quick bite it stands out and uptight the best lover's meal is just right",,,,,,,,,,,,,0.6899999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"after years of arduous wrangling of hands in his hands with his tingling storm's wind was a pain he felt the great rain it seems a result, though, confounding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,a dog-eat-dog dogfight's quite the same take the title of bulldog's good name bacoa's the name to a scotsman of fame it's the start of a match with that game,,,,,,,,,0.7900000214576721,,,,,,,0.6800000071525574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"a decimetre per second 'twas the line of a meter, was reckoned and, say, was its length 'twas a suv's strength has been more than six meters, and reckoned",,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,if you use deoxyribonucleic hydrons of nucleides in traffic enases a protease and speed up your p-tase lots of charge in electrons? not graphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7900000214576721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"they're expecting a divorce and a trial in no courtroom, they don't see her smile life has broken this day it's in court? i must pay could i be into jail in denial",0.5699999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"this flower, of great import, has (though it's part of a bud, not a biz) to describe a dendropia) this flower can't endrop ya but dendropia's not one, it's biz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"when he visits, for his dastardly deeds he brings death in the end, he succeeds though at art's end of death, he it is soon there will be and this limerick always succeeds",,,,0.5299999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"my new job's been really quite challenging with results (no one blares me of taunting i've been stubborn, you know for i don't like to throw though it still's filled with great need of raising",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"my new job's been really quite challenging got to use it to work like a-pestering now i'm clean, and i'm miffed so i'm in for a boost my arm's feeling sick and i'm shaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"we're divorced. my love's completely unplanned and i hope we can't split; understand i'll have nowhere to go we're desynchronous, though i'll decide that it's very unplanned",,,,,,,,,,,,0.5199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
